Title,Artist,Year,Position,Ave BPM,Ave Pitch STD,Ave Pitch Value,Pitch Variation,Pitch Range,Mode Polarity,Note Onset Density
Tossin' and Turnin',Bobby Lewis,1961,1,143.0,3.295,59.827586206896555,10,19,1.0,2.895
I Fall to Pieces,Patsy Cline and The Jordanaires,1961,2,112.0,3.5533333333333332,63.182432432432435,10,16,1.0,1.0966666666666667
Michael (Row the Boat Ashore),The Highwaymen,1961,3,107.0,3.12,52.608695652173914,6,9,1.0,1.2650000000000001
Crying,Roy Orbison,1961,4,97.0,3.67,59.17857142857143,15,25,1.0,1.4649999999999999
Runaway,Del Shannon,1961,5,158.0,3.56,61.21008403361345,15,21,-1.0,1.95
Stranger on the Shore,Acker Bilk,1962,1,71.0,5.7299999999999995,68.90184049079754,25,40,1.0,0.835
I Can't Stop Loving You,Ray Charles,1962,2,79.0,4.465,60.003311258278146,13,21,1.0,1.105
Mashed Potato Time,Dee Dee Sharp,1962,3,125.0,2.955,68.21978021978022,8,12,1.0,2.9850000000000003
Roses Are Red (My Love),Bobby Vinton,1962,4,104.0,2.6799999999999997,57.224598930481285,9,13,1.0,1.4033333333333333
The Stripper,David Rose,1962,5,94.0,7.566,65.48,21,34,1.0,1.4580000000000002
Surfin' USA,The Beach Boys,1963,1,159.0,3.305,60.308724832214764,12,19,1.0,2.5
The End of the World,Skeeter Davis,1963,2,94.0,3.0999999999999996,62.441717791411044,15,15,1.0,1.48
Rhythm of the Rain,The Cascades,1963,3,117.0,3.865,55.541044776119406,12,17,1.0,2.58
He's So Fine,The Chiffons,1963,4,144.0,3.13,62.89855072463768,9,14,1.0,2.0949999999999998
Blue Velvet,Bobby Vinton,1963,5,80.0,3.0199999999999996,55.44,8,14,1.0,1.0633333333333332
I Want to Hold Your Hand,The Beatles,1964,1,131.0,3.02,60.1336032388664,9,13,1.0,1.8449999999999998
She Loves You,The Beatles,1964,2,76.0,3.313333333333333,59.60227272727273,12,19,1.0,2.0533333333333332
"Hello, Dolly!",Louis Armstrong,1964,3,156.0,4.29,58.08108108108108,10,16,1.0,1.885
"Oh, Pretty Woman",Roy Orbison,1964,4,127.0,3.16,60.66101694915254,11,14,1.0,1.5999999999999999
I Get Around,The Beach Boys,1964,5,144.0,3.34,61.928301886792454,25,25,-1.0,1.9825000000000002
Wooly Bully,Sam the Sham and the Pharaohs,1965,1,141.0,2.335,61.02325581395349,9,15,1.0,1.81
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,2,128.0,2.4000000000000004,63.197080291970806,4,7,1.0,2.34
(I Can't Get No) Satisfaction,The Rolling Stones,1965,3,136.0,3.005,60.9622641509434,12,18,1.0,1.9050000000000002
You Were On My Mind,We Five,1965,4,143.0,2.49,60.19512195121951,12,18,-1.0,1.66
You've Lost That Lovin' Feelin',The Righteous Brothers,1965,5,95.0,3.5075000000000003,59.964187327823694,19,36,1.0,1.6099999999999999
