Title,Artist,Year,Position,Ave BPM,Ave Pitch STD,Ave Pitch Value,Pitch Variation,Pitch Range,Mode Polarity,Note Onset Density
Volare (Nel blu dipinto di blu),Domenico Modugno,1958,1,0.26190476190476186,3.02,-0.3582627105816055,0.19230769230769232,0.13793103448275862,1.0,-0.2439478584729983
All I Have to Do Is Dream,The Everly Brothers,1958,2a,0.16666666666666666,2.34,-0.33374468993995776,0.11538461538461539,0.13793103448275862,-1.0,-0.3966480446927374
Claudette,The Everly Brothers,1958,2b,0.7857142857142857,2.18,0.0030888573451301796,0.038461538461538464,0.0,1.0,0.3807106598984772
Don't,Elvis Presley,1958,3a,-0.696969696969697,4.154999999999999,-0.44822383397744725,0.3076923076923077,0.41379310344827586,1.0,-0.8743016759776535
I Beg of You,Elvis Presley,1958,3b,0.8809523809523809,3.276666666666667,-0.25884987678440563,0.038461538461538464,0.10344827586206896,1.0,0.023688663282571788
Witch Doctor,David Seville,1958,4,0.5833333333333333,2.286666666666666,0.1420111439879193,0.6153846153846154,0.3793103448275862,1.0,0.7089678510998308
Patricia,Perez Prado,1958,5,0.5595238095238095,2.585,0.5085479505516147,0.5,0.7586206896551724,1.0,-0.4720670391061452
The Battle of New Orleans,Johnny Horton,1959,1,-0.030303030303030304,3.37,-0.48415257000036227,0.15384615384615385,0.27586206896551724,1.0,0.9746192893401017
Mack the Knife,Bobby Darin,1959,2,-0.15151515151515152,2.5575,-0.17791274619174538,0.5,0.27586206896551724,1.0,-0.5013966480446926
Personality,Lloyd Price,1959,3,0.46428571428571425,3.353333333333333,0.05111605602926499,0.19230769230769232,0.13793103448275862,1.0,-0.5121042830540037
Venus,Frankie Avalon,1959,4,0.2976190476190476,2.793333333333333,-0.6758160584888455,0.19230769230769232,0.1724137931034483,1.0,-0.5121042830540037
Lonely Boy,Paul Anka,1959,5,0.19047619047619047,1.72,0.12498360978168246,-0.5,-1.0,1.0,-0.4748603351955307
"The Theme from ""A Summer Place""",Percy Faith,1960,1,0.023809523809523808,3.998,0.9977885082240889,0.7692307692307693,0.8275862068965517,1.0,-0.5586592178770948
He'll Have to Go,Jim Reeves,1960,2,-0.2727272727272727,3.295,-0.7291397109428764,0.15384615384615385,0.1724137931034483,1.0,-0.547486033519553
Cathy's Clown,The Everly Brothers,1960,3,0.3571428571428571,2.305,-0.04283010520106262,-0.25,0.0,1.0,-0.46368715083798884
Running Bear,Johnny Preston,1960,4,0.3571428571428571,2.995,-0.426518079305416,0.038461538461538464,0.0,-1.0,-0.3798882681564245
Teen Angel,Mark Dinning,1960,5,0.14285714285714285,2.99,0.006249080854504029,0.0,-0.3333333333333333,1.0,-0.4385474860335195
Tossin' and Turnin',Bobby Lewis,1961,1,0.6309523809523809,3.295,-0.017027790303058024,0.11538461538461539,0.24137931034482757,1.0,0.20050761421319802
I Fall to Pieces,Patsy Cline and The Jordanaires,1961,2,0.26190476190476186,3.553333333333333,0.14702380214082877,0.11538461538461539,0.13793103448275862,1.0,-0.7839851024208564
Michael (Row the Boat Ashore),The Highwaymen,1961,3,0.20238095238095238,3.12,-0.729973966905053,-0.25,-0.5,1.0,-0.6899441340782123
Crying,Roy Orbison,1961,4,0.08333333333333333,3.67,-0.08112525808671692,0.3076923076923077,0.4482758620689655,1.0,-0.5782122905027932
Runaway,Del Shannon,1961,5,0.8095238095238095,3.56,0.05590414229023427,0.3076923076923077,0.3103448275862069,-1.0,-0.30726256983240224
Stranger on the Shore,Acker Bilk,1962,1,-0.5757575757575758,5.73,0.4112522301087437,0.6923076923076923,0.9655172413793103,1.0,-0.9301675977653631
I Can't Stop Loving You,Ray Charles,1962,2,-0.33333333333333337,4.465,0.00015297537096559854,0.23076923076923078,0.3103448275862069,1.0,-0.7793296089385474
Mashed Potato Time,Dee Dee Sharp,1962,3,0.41666666666666663,2.955,0.37974202636891946,0.038461538461538464,0.0,1.0,0.24619289340101544
Roses Are Red (My Love),Bobby Vinton,1962,4,0.16666666666666666,2.68,-0.27410189502817306,0.07692307692307693,0.034482758620689655,1.0,-0.6126629422718809
The Stripper,David Rose,1962,5,0.047619047619047616,7.566,0.25316811993269106,0.5384615384615385,0.7586206896551724,1.0,-0.5821229050279328
Surfin' USA,The Beach Boys,1963,1,0.8214285714285714,3.305,0.014262643311742547,0.19230769230769232,0.24137931034482757,1.0,0.0
The End of the World,Skeeter Davis,1963,2,0.047619047619047616,3.1,0.11280385084995155,0.3076923076923077,0.10344827586206896,1.0,-0.5698324022346368
Rhythm of the Rain,The Cascades,1963,3,0.3214285714285714,3.865,-0.44037169623321754,0.19230769230769232,0.1724137931034483,1.0,0.04060913705583761
He's So Fine,The Chiffons,1963,4,0.6428571428571428,3.13,0.13390887545366062,0.07692307692307693,0.06896551724137931,1.0,-0.22625698324022334
Blue Velvet,Bobby Vinton,1963,5,-0.30303030303030304,3.02,-0.45035099793530636,0.038461538461538464,0.06896551724137931,1.0,-0.8026070763500931
I Want to Hold Your Hand,The Beatles,1964,1,0.4880952380952381,3.02,0.006172277518380396,0.07692307692307693,0.034482758620689655,1.0,-0.3659217877094972
She Loves You,The Beatles,1964,2,-0.42424242424242425,3.313333333333333,-0.03928001626728404,0.19230769230769232,0.24137931034482757,1.0,-0.24953445065176938
"Hello, Dolly!",Louis Armstrong,1964,3,0.7857142857142857,4.29,-0.18951470396756012,0.11538461538461539,0.13793103448275862,1.0,-0.3435754189944134
"Oh, Pretty Woman",Roy Orbison,1964,4,0.44047619047619047,3.16,0.03053803252930504,0.15384615384615385,0.06896551724137931,1.0,-0.5027932960893854
I Get Around,The Beach Boys,1964,5,0.6428571428571428,3.34,0.0890847743324643,0.6923076923076923,0.4482758620689655,-1.0,-0.28910614525139666
Wooly Bully,Sam the Sham and the Pharaohs,1965,1,0.6071428571428571,2.335,0.04727294719503658,0.07692307692307693,0.10344827586206896,1.0,-0.38547486033519546
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,2,0.45238095238095233,2.4000000000000004,0.1477005121883408,-0.75,-0.8333333333333333,1.0,-0.08938547486033527
(I Can't Get No) Satisfaction,The Rolling Stones,1965,3,0.5476190476190476,3.005,0.04445522006805968,0.19230769230769232,0.20689655172413793,1.0,-0.33240223463687146
You Were On My Mind,We Five,1965,4,0.6309523809523809,2.49,0.009014353567124484,0.19230769230769232,0.20689655172413793,-1.0,-0.4692737430167598
You've Lost That Lovin' Feelin',The Righteous Brothers,1965,5,0.05952380952380952,3.5075000000000003,-0.00353690189765992,0.46153846153846156,0.8275862068965517,1.0,-0.49720670391061444
California Dreamin',The Mamas & The Papas,1966,1,0.26190476190476186,2.94,0.095697021350991,0.11538461538461539,0.06896551724137931,-1.0,-0.611731843575419
96 Tears,? and the Mysterians,1966,2,0.40476190476190477,1.53,-0.13916348620409155,-0.25,-0.8333333333333333,1.0,-0.547486033519553
What Becomes Of The Brokenhearted,Jimmy Ruffin,1966,3,0.08333333333333333,2.306666666666666,0.08097725479680919,0.11538461538461539,0.06896551724137931,-1.0,0.006768189509306193
Last Train to Clarksville,The Monkees,1966,4,0.10714285714285714,2.71,0.09267882261199858,0.23076923076923078,0.20689655172413793,1.0,0.8121827411167513
Reach Out I'll Be There,Four Tops,1966,5,0.3571428571428571,2.21,0.2379822605018154,0.0,-0.5,-1.0,-0.42737430167597756
